Ticker	Price	52 Week	200 day avg	50 day avg	div pay %	pay rate 	Recent Pay	Second Pay	Thrid Pay 	Fourth Pay	Company
NVDA	141.95	107	110.78	134.01	0.03	1	0.01	0.01	0	0	Nvidia Corp
TSLA 	352.56	222.73	211.83	264.06	0	0	0	0	0	0	Tsla
TSM 	190.08	117.35	162.57	187.94	1.46	0.25	0.63	0.54	0.55	0.48	Taiwan Semiconductor Manufacturing
BA	149.29	130.51	173.79	151.69	0	0	0	0	0	0	Boing Compnay
NFLX	897.79	462.27	662.82	755.43	0	0	0	0	0	0	Netflix
ENB	43.26	10.85	37.66	41.39	6	0.25	0.65	0.67	0.67	0.66	Enbridge 
SU.TO	58.07	18	52.03	53.42	3.93	0.25	0.55	0.55	0.55	0.55	Suncore
VFV.TO	148.17	39.67	131.89	141.89	1.04	0.25	0.36	0.38	0.35	0.38	Canadian Vanguard S&P 500 ETF
QQQ	505.79	132.92	464.4	494.08	0.63	0.25	0.68	0.76	0.57	0.22	Invesco QQQ Trust
SPY	595.51	146.83	542.1	579.35	1.23	0.25	1.75	1.76	1.6	1.91	SPDR S&P 500 ETF Trust
VOO	547.47	135.16	498.39	532.72	1.29	0.25	1.64	1.78	1.54	1.8	Vanguard S&P 500 ETF
NVDY	25.68	-11.23	26.48	25.05	73.48	0.1	1.02	1.1	1.36	1.25	YeildMax NVDA Option Income Strategy ETF
TSLY	15.67	-13.94	14.83	13.19	97.4	0.1	0.6	1.1	0.82	0.97	YeildMax Tesla Option Income Strategy ETF
WMT	90.44	41.06	69.58	82.11	0.99	0.25	0.21	0.21	0.21	0.19	Walmart 
HD	420	212.97	367.07	403.2	2.14	0.25	2.25	2.25	2.25	2.09	Homedepot 
RY	125.08	41.94	109.95	123.38	3.28	0.25	1.03	1.03	1.02	1.01	Royal Bank of Canada 
BMO	94.92	23.14	89.91	91.87	4.7	0.25	1.11	1.12	1.11	1.12	Bank of Montreal 
BNS	56.45	14.91	49.17	53.41	5.41	0.25	0.79	0.78	0.78	0.8	Scotia Bank
BAC	47	17.9	39.25	42.24	2.21	0.25	0.26	0.24	0.24	0.24	Bank of America 
SBUX	102.5	31.54	87.85	97.11	2.38	0.25	0.61	0.57	0.57	0.57	Starbucks
